[01:39:27] [ServerMain/INFO]: Building unoptimized datafixer
[01:39:30] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:39:35] [ServerMain/INFO]: Loaded 7 recipes
[01:39:35] [ServerMain/INFO]: Loaded 1179 advancements
[01:39:37] [Server thread/INFO]: Starting minecraft server version 1.19
[01:39:37] [Server thread/INFO]: Loading properties
[01:39:37] [Server thread/INFO]: Default game type: SURVIVAL
[01:39:37] [Server thread/INFO]: Generating keypair
[01:39:37] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:39:38] [Server thread/INFO]: Using default channel type
[01:39:38] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[01:39:38] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[01:39:38] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[01:39:38] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[01:39:38] [Server thread/INFO]: Preparing level "world"
[01:39:39] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[01:39:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:39:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:40:25] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[01:40:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:40:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:40:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:40:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
